interaction_id,customer_id,interaction_date,channel,interaction_type,response_flag,conversion_flag,campaign_id,message_theme
INT-000000561,CUST-0000052,2025-08-14,push,cross_sell,0,0,CAMP-000013,cashback
INT-000000562,CUST-0000052,2023-10-03,push,upsell,0,0,CAMP-000008,bundle
INT-000000563,CUST-0000052,2025-09-06,email,retention,0,0,CAMP-000001,exclusive_access
INT-000000564,CUST-0000052,2023-09-25,push,upsell,0,0,CAMP-000010,discount
INT-000000565,CUST-0000052,2024-05-01,remarketing,retention,0,0,CAMP-000004,early_access
INT-000000566,CUST-0000052,2023-06-02,sms,retention,0,0,CAMP-000007,free_shipping
INT-000000567,CUST-0000052,2025-05-28,email,cross_sell,0,0,CAMP-000012,discount
INT-000000568,CUST-0000052,2024-04-23,sms,loyalty,0,0,CAMP-000020,exclusive_access
INT-000000569,CUST-0000052,2024-01-27,in_app,conversion,0,0,CAMP-000015,discount
INT-000000570,CUST-0000052,2024-09-23,push,reactivation,0,0,CAMP-000002,exclusive_access
INT-000000571,CUST-0000052,2025-10-20,push,cross_sell,1,0,CAMP-000016,early_access
INT-000000572,CUST-0000053,2023-03-17,sms,loyalty,0,0,CAMP-000009,early_access
INT-000000573,CUST-0000053,2025-09-05,email,retention,0,0,CAMP-000001,exclusive_access
INT-000000574,CUST-0000053,2025-01-10,email,retention,0,0,CAMP-000014,discount
INT-000000575,CUST-0000053,2024-01-26,in_app,conversion,0,0,CAMP-000015,discount
INT-000000576,CUST-0000053,2024-09-23,push,reactivation,0,0,CAMP-000002,exclusive_access
INT-000000577,CUST-0000053,2023-10-02,push,upsell,0,0,CAMP-000008,bundle
INT-000000578,CUST-0000053,2025-10-20,push,cross_sell,0,0,CAMP-000016,early_access
INT-000000579,CUST-0000053,2024-08-08,email,loyalty,0,0,CAMP-000011,early_access
INT-000000580,CUST-0000053,2023-09-14,email,conversion,0,0,CAMP-000006,bundle
INT-000000581,CUST-0000053,2024-01-31,email,loyalty,0,0,CAMP-000018,exclusive_access
INT-000000582,CUST-0000054,2025-05-28,email,cross_sell,0,0,CAMP-000012,discount
INT-000000583,CUST-0000054,2024-05-04,remarketing,retention,0,0,CAMP-000004,early_access
INT-000000584,CUST-0000054,2024-09-30,in_app,conversion,0,0,CAMP-000005,exclusive_access
INT-000000585,CUST-0000054,2024-01-26,in_app,conversion,0,0,CAMP-000015,discount
INT-000000586,CUST-0000054,2025-01-07,email,retention,0,0,CAMP-000014,discount
INT-000000587,CUST-0000054,2023-10-02,push,upsell,0,0,CAMP-000008,bundle
INT-000000588,CUST-0000054,2023-01-13,push,reactivation,0,0,CAMP-000019,bundle
INT-000000589,CUST-0000054,2023-05-19,email,cross_sell,1,0,CAMP-000003,early_access
INT-000000590,CUST-0000054,2023-06-03,sms,retention,0,0,CAMP-000007,free_shipping
INT-000000591,CUST-0000055,2024-01-28,email,loyalty,0,0,CAMP-000018,exclusive_access
INT-000000592,CUST-0000055,2025-08-17,push,cross_sell,0,0,CAMP-000013,cashback
INT-000000593,CUST-0000055,2025-05-28,email,cross_sell,0,0,CAMP-000012,discount
INT-000000594,CUST-0000055,2023-09-15,email,conversion,0,0,CAMP-000006,bundle
INT-000000595,CUST-0000055,2023-05-17,email,cross_sell,0,0,CAMP-000003,early_access
INT-000000596,CUST-0000055,2024-08-09,email,loyalty,0,0,CAMP-000011,early_access
INT-000000597,CUST-0000055,2023-01-14,push,reactivation,0,0,CAMP-000019,bundle
INT-000000598,CUST-0000055,2025-01-07,email,retention,0,0,CAMP-000014,discount
INT-000000599,CUST-0000055,2025-09-04,email,retention,0,0,CAMP-000001,exclusive_access
INT-000000600,CUST-0000055,2024-09-26,push,reactivation,1,0,CAMP-000002,exclusive_access
INT-000000601,CUST-0000055,2024-05-04,remarketing,retention,0,0,CAMP-000004,early_access
INT-000000602,CUST-0000055,2023-03-17,sms,loyalty,0,0,CAMP-000009,early_access
INT-000000603,CUST-0000055,2024-10-02,in_app,conversion,0,0,CAMP-000005,exclusive_access
INT-000000604,CUST-0000055,2024-04-20,sms,loyalty,1,0,CAMP-000020,exclusive_access
INT-000000605,CUST-0000055,2025-10-20,push,cross_sell,0,0,CAMP-000016,early_access
INT-000000606,CUST-0000055,2024-01-26,in_app,conversion,0,0,CAMP-000015,discount
INT-000000607,CUST-0000055,2023-09-30,push,upsell,0,0,CAMP-000008,bundle
INT-000000608,CUST-0000055,2023-06-03,sms,retention,0,0,CAMP-000007,free_shipping
INT-000000609,CUST-0000056,2023-10-02,push,upsell,0,0,CAMP-000008,bundle
INT-000000610,CUST-0000056,2025-01-07,email,retention,0,0,CAMP-000014,discount
INT-000000611,CUST-0000056,2023-03-16,sms,loyalty,0,0,CAMP-000009,early_access
INT-000000612,CUST-0000056,2023-01-12,push,reactivation,0,0,CAMP-000019,bundle
INT-000000613,CUST-0000056,2024-10-02,in_app,conversion,0,0,CAMP-000005,exclusive_access
INT-000000614,CUST-0000056,2023-05-18,email,cross_sell,0,0,CAMP-000003,early_access
INT-000000615,CUST-0000057,2025-09-03,email,retention,0,0,CAMP-000001,exclusive_access
INT-000000616,CUST-0000057,2025-10-04,sms,upsell,0,0,CAMP-000017,discount
INT-000000617,CUST-0000057,2023-09-26,push,upsell,0,0,CAMP-000010,discount
INT-000000618,CUST-0000057,2025-05-30,email,cross_sell,0,0,CAMP-000012,discount
INT-000000619,CUST-0000057,2024-09-23,push,reactivation,0,0,CAMP-000002,exclusive_access
INT-000000620,CUST-0000057,2023-06-01,sms,retention,0,0,CAMP-000007,free_shipping
INT-000000621,CUST-0000057,2024-04-20,sms,loyalty,0,0,CAMP-000020,exclusive_access
INT-000000622,CUST-0000057,2023-05-20,email,cross_sell,1,0,CAMP-000003,early_access
INT-000000623,CUST-0000057,2024-08-09,email,loyalty,1,0,CAMP-000011,early_access
INT-000000624,CUST-0000057,2024-01-29,in_app,conversion,0,0,CAMP-000015,discount
INT-000000625,CUST-0000057,2025-01-08,email,retention,0,0,CAMP-000014,discount
INT-000000626,CUST-0000057,2023-01-12,push,reactivation,0,0,CAMP-000019,bundle
INT-000000627,CUST-0000057,2024-05-02,remarketing,retention,0,0,CAMP-000004,early_access
INT-000000628,CUST-0000057,2025-10-23,push,cross_sell,0,0,CAMP-000016,early_access
INT-000000629,CUST-0000057,2023-09-15,email,conversion,1,0,CAMP-000006,bundle
INT-000000630,CUST-0000057,2025-08-16,push,cross_sell,1,0,CAMP-000013,cashback
INT-000000631,CUST-0000057,2023-09-30,push,upsell,1,0,CAMP-000008,bundle
INT-000000632,CUST-0000057,2023-03-16,sms,loyalty,0,0,CAMP-000009,early_access
INT-000000633,CUST-0000058,2023-03-15,sms,loyalty,0,0,CAMP-000009,early_access
INT-000000634,CUST-0000058,2024-09-25,push,reactivation,1,1,CAMP-000002,exclusive_access
INT-000000635,CUST-0000058,2025-09-03,email,retention,0,0,CAMP-000001,exclusive_access
INT-000000636,CUST-0000058,2024-05-02,remarketing,retention,0,0,CAMP-000004,early_access
INT-000000637,CUST-0000058,2024-04-23,sms,loyalty,0,0,CAMP-000020,exclusive_access
INT-000000638,CUST-0000058,2023-06-04,sms,retention,0,0,CAMP-000007,free_shipping
INT-000000639,CUST-0000058,2023-09-17,email,conversion,0,0,CAMP-000006,bundle
INT-000000640,CUST-0000058,2023-09-23,push,upsell,0,0,CAMP-000010,discount
INT-000000641,CUST-0000058,2025-10-04,sms,upsell,0,0,CAMP-000017,discount
INT-000000642,CUST-0000058,2024-09-30,in_app,conversion,0,0,CAMP-000005,exclusive_access
INT-000000643,CUST-0000058,2024-01-28,in_app,conversion,0,0,CAMP-000015,discount
INT-000000644,CUST-0000058,2024-08-08,email,loyalty,0,0,CAMP-000011,early_access
INT-000000645,CUST-0000059,2025-10-04,sms,upsell,0,0,CAMP-000017,discount
INT-000000646,CUST-0000059,2023-09-25,push,upsell,0,0,CAMP-000010,discount
INT-000000647,CUST-0000059,2023-01-12,push,reactivation,0,0,CAMP-000019,bundle
INT-000000648,CUST-0000059,2023-06-03,sms,retention,1,1,CAMP-000007,free_shipping
INT-000000649,CUST-0000059,2025-08-17,push,cross_sell,1,0,CAMP-000013,cashback
INT-000000650,CUST-0000059,2024-01-29,email,loyalty,1,0,CAMP-000018,exclusive_access
INT-000000651,CUST-0000059,2024-05-01,remarketing,retention,1,0,CAMP-000004,early_access
INT-000000652,CUST-0000059,2025-10-21,push,cross_sell,1,0,CAMP-000016,early_access
INT-000000653,CUST-0000059,2024-10-03,in_app,conversion,0,0,CAMP-000005,exclusive_access
INT-000000654,CUST-0000059,2024-01-27,in_app,conversion,0,0,CAMP-000015,discount
INT-000000655,CUST-0000059,2024-08-09,email,loyalty,1,0,CAMP-000011,early_access
INT-000000656,CUST-0000059,2025-01-09,email,retention,0,0,CAMP-000014,discount
INT-000000657,CUST-0000059,2025-05-29,email,cross_sell,0,0,CAMP-000012,discount
INT-000000658,CUST-0000059,2023-09-15,email,conversion,1,0,CAMP-000006,bundle
INT-000000659,CUST-0000059,2024-09-24,push,reactivation,1,0,CAMP-000002,exclusive_access
INT-000000660,CUST-0000059,2023-09-30,push,upsell,0,0,CAMP-000008,bundle
INT-000000661,CUST-0000060,2025-10-20,push,cross_sell,0,0,CAMP-000016,early_access
INT-000000662,CUST-0000060,2025-10-07,sms,upsell,0,0,CAMP-000017,discount
INT-000000663,CUST-0000060,2023-06-01,sms,retention,0,0,CAMP-000007,free_shipping
INT-000000664,CUST-0000060,2023-05-19,email,cross_sell,1,0,CAMP-000003,early_access
INT-000000665,CUST-0000060,2023-03-15,sms,loyalty,0,0,CAMP-000009,early_access
INT-000000666,CUST-0000060,2023-09-14,email,conversion,0,0,CAMP-000006,bundle
INT-000000667,CUST-0000060,2025-05-30,email,cross_sell,0,0,CAMP-000012,discount
INT-000000668,CUST-0000060,2024-01-28,email,loyalty,0,0,CAMP-000018,exclusive_access
INT-000000669,CUST-0000060,2025-01-07,email,retention,0,0,CAMP-000014,discount
INT-000000670,CUST-0000060,2023-01-12,push,reactivation,0,0,CAMP-000019,bundle
INT-000000671,CUST-0000061,2025-08-14,push,cross_sell,0,0,CAMP-000013,cashback
INT-000000672,CUST-0000061,2023-10-01,push,upsell,0,0,CAMP-000008,bundle
INT-000000673,CUST-0000061,2023-09-25,push,upsell,0,0,CAMP-000010,discount
INT-000000674,CUST-0000061,2024-09-30,in_app,conversion,1,0,CAMP-000005,exclusive_access
INT-000000675,CUST-0000061,2024-08-08,email,loyalty,0,0,CAMP-000011,early_access
INT-000000676,CUST-0000061,2023-01-13,push,reactivation,0,0,CAMP-000019,bundle
INT-000000677,CUST-0000061,2024-01-28,email,loyalty,0,0,CAMP-000018,exclusive_access
INT-000000678,CUST-0000061,2024-05-04,remarketing,retention,1,0,CAMP-000004,early_access
INT-000000679,CUST-0000061,2023-05-18,email,cross_sell,0,0,CAMP-000003,early_access
INT-000000680,CUST-0000061,2024-09-23,push,reactivation,0,0,CAMP-000002,exclusive_access
INT-000000681,CUST-0000061,2023-09-14,email,conversion,0,0,CAMP-000006,bundle
INT-000000682,CUST-0000062,2024-01-28,in_app,conversion,0,0,CAMP-000015,discount
INT-000000683,CUST-0000062,2025-09-05,email,retention,0,0,CAMP-000001,exclusive_access
INT-000000684,CUST-0000062,2023-10-03,push,upsell,1,0,CAMP-000008,bundle
INT-000000685,CUST-0000062,2025-08-15,push,cross_sell,0,0,CAMP-000013,cashback
INT-000000686,CUST-0000062,2023-05-20,email,cross_sell,1,0,CAMP-000003,early_access
INT-000000687,CUST-0000062,2025-05-31,email,cross_sell,1,0,CAMP-000012,discount
INT-000000688,CUST-0000062,2023-10-01,push,upsell,0,0,CAMP-000008,bundle
INT-000000689,CUST-0000062,2024-01-29,in_app,conversion,0,0,CAMP-000015,discount
INT-000000690,CUST-0000062,2023-05-19,email,cross_sell,1,0,CAMP-000003,early_access
INT-000000691,CUST-0000062,2024-10-01,in_app,conversion,0,0,CAMP-000005,exclusive_access
INT-000000692,CUST-0000062,2025-10-06,sms,upsell,0,0,CAMP-000017,discount
INT-000000693,CUST-0000062,2025-05-30,email,cross_sell,0,0,CAMP-000012,discount
INT-000000694,CUST-0000062,2023-10-01,push,upsell,0,0,CAMP-000008,bundle
INT-000000695,CUST-0000062,2025-01-07,email,retention,0,0,CAMP-000014,discount
INT-000000696,CUST-0000062,2025-08-15,push,cross_sell,0,0,CAMP-000013,cashback
INT-000000697,CUST-0000062,2025-01-09,email,retention,0,0,CAMP-000014,discount
INT-000000698,CUST-0000062,2023-03-14,sms,loyalty,0,0,CAMP-000009,early_access
INT-000000699,CUST-0000062,2024-01-26,in_app,conversion,0,0,CAMP-000015,discount
INT-000000700,CUST-0000062,2024-10-03,in_app,conversion,0,0,CAMP-000005,exclusive_access
INT-000000701,CUST-0000062,2023-06-04,sms,retention,0,0,CAMP-000007,free_shipping
INT-000000702,CUST-0000063,2025-05-28,email,cross_sell,1,0,CAMP-000012,discount
INT-000000703,CUST-0000063,2023-01-15,push,reactivation,0,0,CAMP-000019,bundle
INT-000000704,CUST-0000063,2024-08-09,email,loyalty,0,0,CAMP-000011,early_access
INT-000000705,CUST-0000063,2025-10-22,push,cross_sell,0,0,CAMP-000016,early_access
INT-000000706,CUST-0000063,2025-08-16,push,cross_sell,0,0,CAMP-000013,cashback
INT-000000707,CUST-0000063,2025-09-04,email,retention,1,1,CAMP-000001,exclusive_access
INT-000000708,CUST-0000063,2025-10-05,sms,upsell,0,0,CAMP-000017,discount
INT-000000709,CUST-0000063,2024-01-28,in_app,conversion,0,0,CAMP-000015,discount
INT-000000710,CUST-0000063,2023-09-23,push,upsell,0,0,CAMP-000010,discount
INT-000000711,CUST-0000063,2023-09-14,email,conversion,0,0,CAMP-000006,bundle
INT-000000712,CUST-0000063,2024-05-01,remarketing,retention,0,0,CAMP-000004,early_access
INT-000000713,CUST-0000063,2024-10-03,in_app,conversion,0,0,CAMP-000005,exclusive_access
INT-000000714,CUST-0000063,2024-01-31,email,loyalty,0,0,CAMP-000018,exclusive_access
INT-000000715,CUST-0000063,2024-09-24,push,reactivation,0,0,CAMP-000002,exclusive_access
INT-000000716,CUST-0000063,2023-05-19,email,cross_sell,0,0,CAMP-000003,early_access
INT-000000717,CUST-0000063,2023-06-02,sms,retention,0,0,CAMP-000007,free_shipping
INT-000000718,CUST-0000063,2023-10-03,push,upsell,1,0,CAMP-000008,bundle
INT-000000719,CUST-0000063,2023-03-14,sms,loyalty,0,0,CAMP-000009,early_access
INT-000000720,CUST-0000063,2025-01-09,email,retention,0,0,CAMP-000014,discount
INT-000000721,CUST-0000064,2023-06-03,sms,retention,0,0,CAMP-000007,free_shipping
INT-000000722,CUST-0000064,2023-01-12,push,reactivation,1,0,CAMP-000019,bundle
INT-000000723,CUST-0000064,2025-09-04,email,retention,0,0,CAMP-000001,exclusive_access
INT-000000724,CUST-0000064,2024-01-29,email,loyalty,0,0,CAMP-000018,exclusive_access
INT-000000725,CUST-0000064,2023-10-02,push,upsell,0,0,CAMP-000008,bundle
INT-000000726,CUST-0000064,2025-01-08,email,retention,0,0,CAMP-000014,discount
INT-000000727,CUST-0000064,2024-05-01,remarketing,retention,1,0,CAMP-000004,early_access
INT-000000728,CUST-0000064,2024-01-29,in_app,conversion,0,0,CAMP-000015,discount
INT-000000729,CUST-0000064,2023-09-16,email,conversion,0,0,CAMP-000006,bundle
INT-000000730,CUST-0000065,2024-09-25,push,reactivation,0,0,CAMP-000002,exclusive_access
INT-000000731,CUST-0000065,2024-04-22,sms,loyalty,0,0,CAMP-000020,exclusive_access
INT-000000732,CUST-0000065,2023-05-20,email,cross_sell,1,0,CAMP-000003,early_access
INT-000000733,CUST-0000065,2023-10-03,push,upsell,0,0,CAMP-000008,bundle
INT-000000734,CUST-0000065,2023-06-01,sms,retention,0,0,CAMP-000007,free_shipping
INT-000000735,CUST-0000065,2023-09-14,email,conversion,0,0,CAMP-000006,bundle
INT-000000736,CUST-0000065,2023-03-17,sms,loyalty,0,0,CAMP-000009,early_access
INT-000000737,CUST-0000065,2024-10-02,in_app,conversion,0,0,CAMP-000005,exclusive_access
INT-000000738,CUST-0000065,2025-10-04,sms,upsell,1,0,CAMP-000017,discount
INT-000000739,CUST-0000065,2025-08-17,push,cross_sell,0,0,CAMP-000013,cashback
INT-000000740,CUST-0000065,2024-01-28,in_app,conversion,0,0,CAMP-000015,discount
INT-000000741,CUST-0000065,2024-01-31,email,loyalty,0,0,CAMP-000018,exclusive_access
INT-000000742,CUST-0000066,2023-03-17,sms,loyalty,0,0,CAMP-000009,early_access
INT-000000743,CUST-0000066,2025-10-23,push,cross_sell,0,0,CAMP-000016,early_access
INT-000000744,CUST-0000066,2025-05-31,email,cross_sell,1,0,CAMP-000012,discount
INT-000000745,CUST-0000066,2023-06-01,sms,retention,0,0,CAMP-000007,free_shipping
INT-000000746,CUST-0000066,2023-09-16,email,conversion,0,0,CAMP-000006,bundle
INT-000000747,CUST-0000066,2025-10-05,sms,upsell,1,0,CAMP-000017,discount
INT-000000748,CUST-0000066,2023-05-20,email,cross_sell,0,0,CAMP-000003,early_access
INT-000000749,CUST-0000066,2024-01-29,in_app,conversion,0,0,CAMP-000015,discount
INT-000000750,CUST-0000066,2024-01-29,email,loyalty,1,0,CAMP-000018,exclusive_access
INT-000000751,CUST-0000066,2023-10-02,push,upsell,0,0,CAMP-000008,bundle
INT-000000752,CUST-0000066,2024-04-20,sms,loyalty,1,0,CAMP-000020,exclusive_access
INT-000000753,CUST-0000066,2023-01-12,push,reactivation,0,0,CAMP-000019,bundle
INT-000000754,CUST-0000066,2025-01-08,email,retention,0,0,CAMP-000014,discount
INT-000000755,CUST-0000066,2025-08-17,push,cross_sell,1,0,CAMP-000013,cashback
INT-000000756,CUST-0000066,2024-05-02,remarketing,retention,0,0,CAMP-000004,early_access
INT-000000757,CUST-0000067,2024-01-26,in_app,conversion,0,0,CAMP-000015,discount
INT-000000758,CUST-0000067,2025-08-16,push,cross_sell,0,0,CAMP-000013,cashback
INT-000000759,CUST-0000067,2025-10-06,sms,upsell,0,0,CAMP-000017,discount
INT-000000760,CUST-0000067,2024-05-03,remarketing,retention,0,0,CAMP-000004,early_access
INT-000000761,CUST-0000067,2023-10-03,push,upsell,0,0,CAMP-000008,bundle
INT-000000762,CUST-0000067,2023-05-17,email,cross_sell,1,0,CAMP-000003,early_access
INT-000000763,CUST-0000067,2024-04-21,sms,loyalty,0,0,CAMP-000020,exclusive_access
INT-000000764,CUST-0000068,2023-03-17,sms,loyalty,0,0,CAMP-000009,early_access
INT-000000765,CUST-0000068,2023-09-25,push,upsell,0,0,CAMP-000010,discount
INT-000000766,CUST-0000068,2025-10-23,push,cross_sell,0,0,CAMP-000016,early_access
INT-000000767,CUST-0000068,2023-09-17,email,conversion,0,0,CAMP-000006,bundle
INT-000000768,CUST-0000068,2023-06-02,sms,retention,0,0,CAMP-000007,free_shipping
INT-000000769,CUST-0000068,2023-05-19,email,cross_sell,0,0,CAMP-000003,early_access
INT-000000770,CUST-0000068,2024-04-21,sms,loyalty,0,0,CAMP-000020,exclusive_access
INT-000000771,CUST-0000068,2024-01-27,in_app,conversion,0,0,CAMP-000015,discount
INT-000000772,CUST-0000068,2025-01-08,email,retention,0,0,CAMP-000014,discount
INT-000000773,CUST-0000068,2025-05-29,email,cross_sell,1,1,CAMP-000012,discount
INT-000000774,CUST-0000068,2025-08-14,push,cross_sell,0,0,CAMP-000013,cashback
INT-000000775,CUST-0000068,2024-01-29,email,loyalty,0,0,CAMP-000018,exclusive_access
INT-000000776,CUST-0000068,2023-09-30,push,upsell,0,0,CAMP-000008,bundle
INT-000000777,CUST-0000069,2025-01-07,email,retention,0,0,CAMP-000014,discount
INT-000000778,CUST-0000069,2023-03-16,sms,loyalty,1,1,CAMP-000009,early_access
INT-000000779,CUST-0000069,2023-06-01,sms,retention,0,0,CAMP-000007,free_shipping
INT-000000780,CUST-0000069,2024-08-08,email,loyalty,1,1,CAMP-000011,early_access
INT-000000781,CUST-0000069,2025-09-05,email,retention,0,0,CAMP-000001,exclusive_access
INT-000000782,CUST-0000069,2024-01-28,in_app,conversion,0,0,CAMP-000015,discount
INT-000000783,CUST-0000069,2024-04-22,sms,loyalty,0,0,CAMP-000020,exclusive_access
INT-000000784,CUST-0000069,2024-05-02,remarketing,retention,1,0,CAMP-000004,early_access
INT-000000785,CUST-0000069,2023-09-24,push,upsell,0,0,CAMP-000010,discount
INT-000000786,CUST-0000069,2024-10-03,in_app,conversion,0,0,CAMP-000005,exclusive_access
INT-000000787,CUST-0000069,2023-09-14,email,conversion,0,0,CAMP-000006,bundle
INT-000000788,CUST-0000069,2023-10-03,push,upsell,0,0,CAMP-000008,bundle
INT-000000789,CUST-0000069,2025-05-30,email,cross_sell,0,0,CAMP-000012,discount
INT-000000790,CUST-0000069,2024-09-24,push,reactivation,0,0,CAMP-000002,exclusive_access
INT-000000791,CUST-0000070,2024-01-29,in_app,conversion,1,0,CAMP-000015,discount
INT-000000792,CUST-0000070,2025-10-20,push,cross_sell,1,0,CAMP-000016,early_access
INT-000000793,CUST-0000070,2023-10-01,push,upsell,0,0,CAMP-000008,bundle
INT-000000794,CUST-0000070,2023-05-20,email,cross_sell,0,0,CAMP-000003,early_access
INT-000000795,CUST-0000070,2024-01-31,email,loyalty,0,0,CAMP-000018,exclusive_access
INT-000000796,CUST-0000070,2023-01-13,push,reactivation,0,0,CAMP-000019,bundle
INT-000000797,CUST-0000070,2023-09-15,email,conversion,0,0,CAMP-000006,bundle
INT-000000798,CUST-0000070,2025-09-04,email,retention,1,0,CAMP-000001,exclusive_access
INT-000000799,CUST-0000070,2024-04-21,sms,loyalty,0,0,CAMP-000020,exclusive_access
INT-000000800,CUST-0000070,2024-05-04,remarketing,retention,0,0,CAMP-000004,early_access
INT-000000801,CUST-0000070,2025-10-05,sms,upsell,0,0,CAMP-000017,discount
INT-000000802,CUST-0000070,2025-05-31,email,cross_sell,0,0,CAMP-000012,discount
INT-000000803,CUST-0000070,2025-08-14,push,cross_sell,0,0,CAMP-000013,cashback
INT-000000804,CUST-0000070,2023-03-15,sms,loyalty,1,0,CAMP-000009,early_access
INT-000000805,CUST-0000071,2025-10-21,push,cross_sell,1,0,CAMP-000016,early_access
INT-000000806,CUST-0000071,2025-09-05,email,retention,0,0,CAMP-000001,exclusive_access
INT-000000807,CUST-0000071,2024-05-03,remarketing,retention,0,0,CAMP-000004,early_access
INT-000000808,CUST-0000071,2023-09-24,push,upsell,0,0,CAMP-000010,discount
INT-000000809,CUST-0000071,2025-05-31,email,cross_sell,0,0,CAMP-000012,discount
INT-000000810,CUST-0000072,2025-08-16,push,cross_sell,0,0,CAMP-000013,cashback
INT-000000811,CUST-0000072,2025-05-28,email,cross_sell,0,0,CAMP-000012,discount
INT-000000812,CUST-0000072,2023-03-15,sms,loyalty,0,0,CAMP-000009,early_access
INT-000000813,CUST-0000072,2024-01-28,in_app,conversion,0,0,CAMP-000015,discount
INT-000000814,CUST-0000072,2025-01-10,email,retention,1,0,CAMP-000014,discount
INT-000000815,CUST-0000072,2024-04-22,sms,loyalty,0,0,CAMP-000020,exclusive_access
INT-000000816,CUST-0000072,2024-01-31,email,loyalty,0,0,CAMP-000018,exclusive_access
INT-000000817,CUST-0000072,2023-09-23,push,upsell,0,0,CAMP-000010,discount
INT-000000818,CUST-0000072,2024-05-03,remarketing,retention,0,0,CAMP-000004,early_access
INT-000000819,CUST-0000072,2024-10-02,in_app,conversion,0,0,CAMP-000005,exclusive_access
INT-000000820,CUST-0000072,2025-10-23,push,cross_sell,0,0,CAMP-000016,early_access
INT-000000821,CUST-0000072,2024-09-23,push,reactivation,1,0,CAMP-000002,exclusive_access
INT-000000822,CUST-0000072,2023-10-01,push,upsell,0,0,CAMP-000008,bundle
INT-000000823,CUST-0000072,2023-05-18,email,cross_sell,0,0,CAMP-000003,early_access
INT-000000824,CUST-0000072,2025-09-06,email,retention,0,0,CAMP-000001,exclusive_access
INT-000000825,CUST-0000072,2023-09-16,email,conversion,0,0,CAMP-000006,bundle
INT-000000826,CUST-0000073,2025-10-07,sms,upsell,0,0,CAMP-000017,discount
INT-000000827,CUST-0000073,2024-04-22,sms,loyalty,0,0,CAMP-000020,exclusive_access
INT-000000828,CUST-0000073,2025-05-30,email,cross_sell,1,0,CAMP-000012,discount
INT-000000829,CUST-0000073,2024-01-30,email,loyalty,0,0,CAMP-000018,exclusive_access
INT-000000830,CUST-0000073,2023-10-03,push,upsell,0,0,CAMP-000008,bundle
INT-000000831,CUST-0000073,2024-09-23,push,reactivation,0,0,CAMP-000002,exclusive_access
INT-000000832,CUST-0000073,2023-05-20,email,cross_sell,0,0,CAMP-000003,early_access
INT-000000833,CUST-0000074,2025-09-05,email,retention,0,0,CAMP-000001,exclusive_access
INT-000000834,CUST-0000074,2024-09-30,in_app,conversion,0,0,CAMP-000005,exclusive_access
INT-000000835,CUST-0000074,2023-09-24,push,upsell,1,0,CAMP-000010,discount
INT-000000836,CUST-0000074,2025-05-29,email,cross_sell,0,0,CAMP-000012,discount
INT-000000837,CUST-0000074,2023-05-18,email,cross_sell,0,0,CAMP-000003,early_access
INT-000000838,CUST-0000074,2024-05-02,remarketing,retention,0,0,CAMP-000004,early_access
INT-000000839,CUST-0000075,2024-04-21,sms,loyalty,1,0,CAMP-000020,exclusive_access
INT-000000840,CUST-0000075,2025-05-29,email,cross_sell,0,0,CAMP-000012,discount
INT-000000841,CUST-0000075,2025-10-05,sms,upsell,0,0,CAMP-000017,discount
INT-000000842,CUST-0000075,2023-01-12,push,reactivation,0,0,CAMP-000019,bundle
INT-000000843,CUST-0000075,2023-09-26,push,upsell,0,0,CAMP-000010,discount
INT-000000844,CUST-0000075,2023-05-18,email,cross_sell,0,0,CAMP-000003,early_access
INT-000000845,CUST-0000075,2023-10-03,push,upsell,0,0,CAMP-000008,bundle
INT-000000846,CUST-0000075,2023-03-15,sms,loyalty,1,0,CAMP-000009,early_access
INT-000000847,CUST-0000075,2024-05-01,remarketing,retention,0,0,CAMP-000004,early_access
INT-000000848,CUST-0000075,2025-10-20,push,cross_sell,0,0,CAMP-000016,early_access
INT-000000849,CUST-0000075,2023-09-17,email,conversion,0,0,CAMP-000006,bundle
INT-000000850,CUST-0000075,2024-08-10,email,loyalty,0,0,CAMP-000011,early_access
INT-000000851,CUST-0000075,2024-10-01,in_app,conversion,0,0,CAMP-000005,exclusive_access
INT-000000852,CUST-0000075,2025-01-07,email,retention,1,0,CAMP-000014,discount
INT-000000853,CUST-0000075,2024-01-26,in_app,conversion,0,0,CAMP-000015,discount
INT-000000854,CUST-0000075,2025-09-06,email,retention,1,0,CAMP-000001,exclusive_access
INT-000000855,CUST-0000075,2024-01-31,email,loyalty,0,0,CAMP-000018,exclusive_access
INT-000000856,CUST-0000075,2024-09-23,push,reactivation,1,0,CAMP-000002,exclusive_access
INT-000000857,CUST-0000076,2024-08-08,email,loyalty,0,0,CAMP-000011,early_access
INT-000000858,CUST-0000076,2023-10-01,push,upsell,1,0,CAMP-000008,bundle
INT-000000859,CUST-0000076,2025-08-14,push,cross_sell,0,0,CAMP-000013,cashback
INT-000000860,CUST-0000076,2023-06-04,sms,retention,1,0,CAMP-000007,free_shipping
INT-000000861,CUST-0000076,2024-01-30,email,loyalty,0,0,CAMP-000018,exclusive_access
INT-000000862,CUST-0000076,2023-03-15,sms,loyalty,0,0,CAMP-000009,early_access
INT-000000863,CUST-0000076,2025-05-29,email,cross_sell,0,0,CAMP-000012,discount
INT-000000864,CUST-0000077,2023-01-14,push,reactivation,1,0,CAMP-000019,bundle
INT-000000865,CUST-0000077,2023-10-01,push,upsell,0,0,CAMP-000008,bundle
INT-000000866,CUST-0000077,2025-01-08,email,retention,0,0,CAMP-000014,discount
